mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass;isCoref
[(Negosiasi Pengambilalihan Inalum)-(Menteri Koordinator Bidang Perekonomian)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Hatta Rajasa,)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(negosiasi)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(pengambil alihan PT Indonesia Asahan Aluminium)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(sejumlah perbedaan,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(hasil audit)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Badan Pengawasan Keuangan dan Pembangunan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(BPKP)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;ORGANIZATION;FALSE
[(Negosiasi Pengambilalihan Inalum)-(nilai buku Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(tutur Hatta,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(kemarin)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Hatta)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(nilai akuisisi Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(nilainya)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(negara)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
"[(Negosiasi Pengambilalihan Inalum)-(Niat)]""";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(kita)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Oktober nanti Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
"[(Negosiasi Pengambilalihan Inalum)-(Indonesia,)]""";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Hatta)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Menteri Keuangan Agus Martowardojo)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(pemerintah)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(alih Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Oktober)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
"[(Negosiasi Pengambilalihan Inalum)-(Persiapannya)]""";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(tutur Agus)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Agus)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(APBN)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;LOCATION;FALSE
[(Negosiasi Pengambilalihan Inalum)-(2013)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(pemerintah)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(dana)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Rinciannya)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(tahun anggaran 2012)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(dia)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(sejumlah hal)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Indonesia dan Jepang)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;ORGANIZATION;FALSE
[(Negosiasi Pengambilalihan Inalum)-(nanti menteri perindustrian)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(MS Hidayat)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;ORGANIZATION;FALSE
"[(Negosiasi Pengambilalihan Inalum)-(tim Jepang.)]""";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(gambaran Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(kontrak kerja sama)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Indonesia dan investor Jepang)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;ORGANIZATION;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Nippon Asahan Alumina)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(NAA)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;ORGANIZATION;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Kontrak tersebut)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Oktober)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Saat ini)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Negosiasi Pengambilalihan Inalum)-(58,8 persen saham Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(Jepang)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;LOCATION;FALSE
[(Negosiasi Pengambilalihan Inalum)-(sedangkan Indonesia)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Negosiasi Pengambilalihan Inalum)-(42 persen)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(Hatta Rajasa,)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;PERSON;TRUE
[(Menteri Koordinator Bidang Perekonomian)-(negosiasi)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(pengambil alihan PT Indonesia Asahan Aluminium)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;PERSON;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(sejumlah perbedaan,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(hasil audit)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(Badan Pengawasan Keuangan dan Pembangunan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(BPKP)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;ORGANIZATION;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(nilai buku Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(tutur Hatta,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(kemarin)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(Hatta)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;TRUE
[(Menteri Koordinator Bidang Perekonomian)-(nilai akuisisi Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(nilainya)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(negara)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
"[(Menteri Koordinator Bidang Perekonomian)-(Niat)]""";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(kita)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Menteri Koordinator Bidang Perekonomian)-(Oktober nanti Inalum)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
