mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass;isCoref
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(DPP PDIP Megawati Soekarnoputri)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;ORGANIZATION;TRUE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(pemenangan pasangan Anak Agung)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;OTHER;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(Ngurah Puspayoga-Dewa Nyoman Sukrawan)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;PERSON;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(PAS)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;ORGANIZATION;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(Pasar Seni Guwang Sukawati Gianyar Bali)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;PERSON;LOCATION;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(kampanye)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(Selasa)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(Megawati)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;PERSON;PERSON;TRUE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(sejumlah petinggi partai,)];FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(Ketua DPP Maruarar Sirait)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(Rieke Diah Pitaloka)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(Wasekjen DPP PDIP Hasto Kristianto)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;PERSON;FALSE
[(Megawati Ogah Beli Kaos Biru dan Kuning Ketua)-(dan calon gubernur)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;PERSON;OTHER;FALSE
