mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass;isCoref
[(Pelajar Jawa Timur Ikrar Anti)-(Narkoba)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;PERSON;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(pelajar setingkat SMP dan SMA se-Jawa Timur)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(narkoba)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(Kamis pagi,)];FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(23 Mei 2013)];FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(pelajar)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(barang laknat itu)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(hadapan Kepala Badan Narkotika Nasional)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(Komisaris Jendral Anang Iskandar dan Wakil Gubernur Saifullah Yusuf)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;PERSON;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(pelajar)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(kegiatan ini)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(Sebelum acara deklarasi)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;PERSON;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(sejumlah pelajar)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(aksi teatrikal)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(Mereka)];FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(potongan kertas)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(jenis narkotika dan obat-obatan)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;OTHER;FALSE
[(Pelajar Jawa Timur Ikrar Anti)-(Kertas itu)];FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;LOCATION;PERSON;FALSE
