mentions;isStrMatch;isMatchNoCasePunc;isAbbrev;isFirstPronoun;isScndPronoun;isOnOneSentence;isMatchPartial;firstNameClass;scndNameClass
"[(JK)-(keputusan pemerintah)]";false;true;false;false;false;true;false;ORGANIZATION;OTHER
"[(JK)-(harga BBBM Mantan Wakil Presiden Jusuf Kalla)]";false;true;false;false;false;true;false;ORGANIZATION;OTHER
"[(JK)-(keputusan pemerintah pusat)]";false;true;false;false;false;true;false;ORGANIZATION;OTHER
"[(JK)-(kebijakan)]";false;true;false;false;false;true;false;ORGANIZATION;OTHER
"[(JK)-(harga bahan bakar minyak jenis premium)]";false;true;false;false;false;true;false;ORGANIZATION;OTHER
"[(JK)-("Soal itu)]";false;false;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-((kenaikan harga BBM)]";false;true;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(kita)]";false;true;false;false;true;false;false;ORGANIZATION;OTHER
"[(JK)-(pemerintah)]";false;true;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(keputusan,")]";false;false;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(peringatan Hari)]";false;true;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(Nahdhatul Ulama)]";false;true;false;false;false;false;false;ORGANIZATION;PERSON
"[(JK)-(NU)]";false;true;false;false;false;false;false;ORGANIZATION;ORGANIZATION
"[(JK)-(Pondok Pesantren An Nur Ngrukem,)]";false;false;false;false;false;false;false;ORGANIZATION;LOCATION
"[(JK)-(Kabupaten Bantul,)]";false;false;false;false;false;false;false;ORGANIZATION;LOCATION
"[(JK)-(Daerah Istimewa Yogyakarta,)]";false;false;false;false;false;false;false;ORGANIZATION;LOCATION
"[(JK)-(Sabtu)]";false;true;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(Rencana pemerintah pusat)]";false;true;false;false;false;false;false;ORGANIZATION;LOCATION
"[(JK)-(harga BBM jenis premium)]";false;true;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(Rp4.500 per liter)]";false;true;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(Rp6.500 per liter)]";false;true;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(polemik,)]";false;false;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(harga itu)]";false;true;false;false;false;false;false;ORGANIZATION;OTHER
"[(JK)-(Jusuf Kalla)]";false;true;true;false;false;false;false;ORGANIZATION;ORGANIZATION
